Symptom,Possible Diseases,Severity,Average Duration (days),Common in Region,Language Availability
Fever,"Malaria, Dengue, Typhoid",Moderate,7,Pan-India,"English, Hindi, Tamil, Telugu, Kannada, Malayalam, Bengali"
Persistent cough,"Tuberculosis, Bronchitis, COVID-19",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Joint pain,"Chikungunya, Arthritis, Dengue",Moderate,10,Pan-India,"English, Hindi, Tamil, Telugu, Kannada"
Skin rash,"Chickenpox, Measles, Allergic dermatitis",Mild,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Headache,"Migraine, Sinusitis, Hypertension",Mild,3,Pan-India,"English, Hindi, Tamil, Telugu, Malayalam"
Abdominal pain,"Gastritis, Appendicitis, Food poisoning",Moderate,5,Pan-India,"English, Hindi, Tamil, Telugu, Kannada, Bengali"
Diarrhea,"Gastroenteritis, Cholera, Food poisoning",Moderate,4,Pan-India,"English, Hindi, Tamil, Bengali, Gujarati"
Vomiting,"Food poisoning, Viral infection, Gastritis",Moderate,3,Pan-India,"English, Hindi, Tamil, Telugu, Malayalam"
Fatigue,"Anemia, Hypothyroidism, Chronic fatigue syndrome",Mild,30,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Difficulty breathing,"Asthma, Pneumonia, COPD",Severe,14,North India,"English, Hindi, Punjabi, Urdu"
Sore throat,"Pharyngitis, Tonsillitis, Common cold",Mild,5,Pan-India,"English, Hindi, Tamil, Telugu, Kannada"
Nasal congestion,"Common cold, Sinusitis, Allergic rhinitis",Mild,7,North India,"English, Hindi, Punjabi, Urdu"
Chest pain,"Angina, Gastroesophageal reflux, Pneumonia",Severe,3,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Dizziness,"Vertigo, Anemia, Low blood pressure",Moderate,3,Pan-India,"English, Hindi, Tamil, Telugu, Kannada"
Swollen lymph nodes,"Tuberculosis, Lymphoma, Viral infection",Moderate,14,Pan-India,"English, Hindi, Bengali, Tamil, Marathi"
Jaundice,"Hepatitis, Liver cirrhosis, Malaria",Severe,21,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Blood in stool,"Hemorrhoids, Colorectal cancer, Dysentery",Severe,5,Pan-India,"English, Hindi, Tamil, Bengali, Malayalam"
Burning urination,"Urinary tract infection, Kidney stones, Prostatitis",Moderate,7,Pan-India,"English, Hindi, Tamil, Telugu, Bengali"
Back pain,"Muscle strain, Herniated disc, Kidney stones",Moderate,10,Pan-India,"English, Hindi, Tamil, Marathi, Bengali"
Ear pain,"Ear infection, Swimmer's ear, Sinusitis",Moderate,5,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Blurred vision,"Cataract, Glaucoma, Diabetic retinopathy",Moderate,60,Pan-India,"English, Hindi, Tamil, Bengali, Malayalam"
Loss of appetite,"Tuberculosis, Depression, Hepatitis",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Night sweats,"Tuberculosis, Lymphoma, Menopause",Moderate,21,Pan-India,"English, Hindi, Tamil, Bengali, Gujarati"
Nausea,"Motion sickness, Gastritis, Pregnancy",Mild,3,Pan-India,"English, Hindi, Tamil, Telugu, Malayalam"
Muscle weakness,"Vitamin D deficiency, Myasthenia gravis, Thyroid disorders",Moderate,30,North India,"English, Hindi, Punjabi, Urdu"
Frequent urination,"Diabetes, Urinary tract infection, Prostate enlargement",Moderate,7,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Constipation,"Irritable bowel syndrome, Hypothyroidism, Dehydration",Mild,5,Pan-India,"English, Hindi, Tamil, Telugu, Kannada"
Blood in urine,"Urinary tract infection, Kidney stones, Bladder cancer",Severe,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Wheezing,"Asthma, Bronchitis, COPD",Moderate,7,North India,"English, Hindi, Punjabi, Urdu"
Stiff neck,"Meningitis, Cervical spondylosis, Muscle strain",Moderate,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Ankle swelling,"Heart failure, Kidney disease, Venous insufficiency",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Malayalam"
Weight loss,"Tuberculosis, Cancer, Hyperthyroidism",Moderate,30,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Excessive thirst,"Diabetes, Dehydration, Kidney disease",Moderate,7,Pan-India,"English, Hindi, Tamil, Telugu, Kannada"
Increased hunger,"Diabetes, Hyperthyroidism, Parasitic infection",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Gujarati"
Dry cough,"Bronchitis, COVID-19, Asthma",Moderate,10,Pan-India,"English, Hindi, Tamil, Telugu, Malayalam"
Productive cough,"Pneumonia, Bronchitis, Tuberculosis",Moderate,14,North India,"English, Hindi, Punjabi, Urdu"
Itchy skin,"Scabies, Eczema, Allergies",Mild,14,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Red eyes,"Conjunctivitis, Allergies, Glaucoma",Mild,7,Pan-India,"English, Hindi, Tamil, Telugu, Kannada"
Mouth ulcers,"Vitamin deficiency, Viral infection, Stress",Mild,10,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Hair loss,"Alopecia, Thyroid disorders, Nutritional deficiency",Mild,60,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Palpitations,"Anxiety, Arrhythmia, Anemia",Moderate,1,Pan-India,"English, Hindi, Tamil, Bengali, Malayalam"
Cold hands and feet,"Raynaud's disease, Hypothyroidism, Anemia",Mild,30,North India,"English, Hindi, Punjabi, Urdu"
Memory problems,"Dementia, Vitamin B12 deficiency, Depression",Moderate,60,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Tremors,"Parkinson's disease, Essential tremor, Hyperthyroidism",Moderate,30,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Excessive sweating,"Hyperthyroidism, Tuberculosis, Menopause",Moderate,21,Pan-India,"English, Hindi, Tamil, Bengali, Gujarati"
Hoarseness,"Laryngitis, Vocal cord nodules, Thyroid cancer",Mild,10,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Dry skin,"Eczema, Psoriasis, Hypothyroidism",Mild,30,North India,"English, Hindi, Punjabi, Urdu"
Insomnia,"Anxiety, Depression, Sleep apnea",Moderate,21,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Excessive sleepiness,"Sleep apnea, Depression, Hypothyroidism",Moderate,30,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Numbness in extremities,"Peripheral neuropathy, Vitamin B12 deficiency, Diabetes",Moderate,21,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Painful urination,"Urinary tract infection, Kidney stones, Sexually transmitted infection",Moderate,7,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Swollen joints,"Rheumatoid arthritis, Gout, Reactive arthritis",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Muscle cramps,"Dehydration, Electrolyte imbalance, Vitamin D deficiency",Mild,3,Pan-India,"English, Hindi, Tamil, Telugu, Kannada"
Facial pain,"Sinusitis, Trigeminal neuralgia, Dental abscess",Moderate,7,North India,"English, Hindi, Punjabi, Urdu"
Eye pain,"Glaucoma, Corneal abrasion, Iritis",Moderate,5,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Blood pressure fluctuations,"Hypertension, Pheochromocytoma, Anxiety",Moderate,7,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Irregular heartbeat,"Arrhythmia, Anxiety, Electrolyte imbalance",Moderate,5,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Excessive bruising,"Platelet disorders, Vitamin K deficiency, Leukemia",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Toothache,"Dental cavity, Abscess, Gum disease",Moderate,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Jaw pain,"Temporomandibular joint disorder, Dental abscess, Trigeminal neuralgia",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Halitosis,"Gum disease, Dental infection, Gastroesophageal reflux",Mild,7,Pan-India,"English, Hindi, Tamil, Telugu, Malayalam"
Bloody sputum,"Tuberculosis, Lung cancer, Pneumonia",Severe,7,North India,"English, Hindi, Punjabi, Urdu"
Lower back pain,"Sciatica, Kidney infection, Herniated disc",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Knee pain,"Osteoarthritis, Ligament injury, Gout",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Shoulder pain,"Frozen shoulder, Rotator cuff injury, Bursitis",Moderate,21,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Abdominal bloating,"Irritable bowel syndrome, Gastritis, Lactose intolerance",Mild,5,Pan-India,"English, Hindi, Tamil, Telugu, Kannada"
Anal bleeding,"Hemorrhoids, Anal fissure, Colorectal cancer",Moderate,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Decreased urine output,"Kidney disease, Dehydration, Urinary obstruction",Severe,3,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Loss of consciousness,"Syncope, Epilepsy, Hypoglycemia",Severe,1,Pan-India,"English, Hindi, Tamil, Bengali, Malayalam"
Confusion,"Delirium, Dementia, Encephalitis",Severe,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Slurred speech,"Stroke, Transient ischemic attack, Multiple sclerosis",Severe,3,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Facial drooping,"Stroke, Bell's palsy, Transient ischemic attack",Severe,14,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Limb weakness,"Stroke, Multiple sclerosis, Guillain-Barré syndrome",Severe,21,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Double vision,"Stroke, Brain tumor, Multiple sclerosis",Severe,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Seizures,"Epilepsy, Brain tumor, Meningitis",Severe,1,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Ringing in ears,"Tinnitus, Meniere's disease, Ear infection",Mild,14,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Hearing loss,"Age-related hearing loss, Ear infection, Acoustic neuroma",Moderate,30,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Balance problems,"Vertigo, Inner ear infection, Multiple sclerosis",Moderate,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Frequent falls,"Parkinson's disease, Orthostatic hypotension, Multiple sclerosis",Severe,30,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Excessive urination at night,"Diabetes, Prostate enlargement, Heart failure",Moderate,21,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Erectile dysfunction,"Diabetes, Hypertension, Depression",Moderate,60,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Painful intercourse,"Vaginitis, Endometriosis, Pelvic inflammatory disease",Moderate,21,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Vaginal discharge,"Vaginitis, Sexually transmitted infection, Cervical cancer",Moderate,7,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Abnormal vaginal bleeding,"Uterine fibroids, Endometriosis, Cervical cancer",Severe,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Breast lump,"Fibrocystic disease, Breast cancer, Mastitis",Severe,14,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Menstrual pain,"Endometriosis, Adenomyosis, Pelvic inflammatory disease",Moderate,5,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Missed periods,"Pregnancy, Polycystic ovary syndrome, Stress",Moderate,30,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Testicular pain,"Epididymitis, Testicular torsion, Orchitis",Severe,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Scrotal swelling,"Hydrocele, Varicocele, Testicular cancer",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Painful ejaculation,"Prostatitis, Seminal vesiculitis, Urethritis",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Premature ejaculation,"Anxiety, Thyroid disorders, Prostatitis",Mild,60,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Rectal pain,"Hemorrhoids, Anal fissure, Proctitis",Moderate,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Inability to urinate,"Urinary retention, Prostate enlargement, Urethral stricture",Severe,3,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Yellow skin,"Jaundice, Hepatitis, Gallstones",Severe,21,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Pale skin,"Anemia, Shock, Vitamin deficiency",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Cyanosis,"Heart failure, Pulmonary embolism, COPD",Severe,3,North India,"English, Hindi, Punjabi, Urdu"
Swollen face,"Kidney disease, Allergic reaction, Cushing's syndrome",Moderate,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Puffy eyes,"Allergies, Kidney disease, Hypothyroidism",Mild,5,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Brittle nails,"Iron deficiency, Thyroid disorders, Fungal infection",Mild,60,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Nail discoloration,"Fungal infection, Psoriasis, Melanoma",Mild,60,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Sunken eyes,"Dehydration, Malnutrition, Aging",Moderate,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Dark circles under eyes,"Allergies, Sleep deprivation, Anemia",Mild,14,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Swollen gums,"Gingivitis, Vitamin C deficiency, Leukemia",Mild,14,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Bleeding gums,"Gingivitis, Vitamin K deficiency, Leukemia",Moderate,7,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Difficulty swallowing,"Esophageal stricture, Throat cancer, Achalasia",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Hoarse voice,"Laryngitis, Vocal cord nodules, Thyroid cancer",Mild,10,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Lump in throat,"Globus sensation, Thyroid nodule, Esophageal cancer",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Neck swelling,"Goiter, Lymphadenopathy, Thyroid cancer",Moderate,21,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Hiccups,"Gastroesophageal reflux, Hiatal hernia, Pneumonia",Mild,2,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Excessive belching,"Gastroesophageal reflux, Gastritis, Functional dyspepsia",Mild,7,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Excessive flatulence,"Irritable bowel syndrome, Lactose intolerance, Malabsorption",Mild,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Rectal itching,"Hemorrhoids, Pinworms, Fungal infection",Mild,7,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Hair thinning,"Iron deficiency, Hypothyroidism, Telogen effluvium",Mild,90,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Facial hair in women,"Polycystic ovary syndrome, Cushing's syndrome, Adrenal disorders",Moderate,90,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Excessive sweating,"Hyperthyroidism, Anxiety, Infection",Mild,14,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Night blindness,"Vitamin A deficiency, Retinitis pigmentosa, Cataracts",Moderate,30,Rural India,"English, Hindi, Tamil, Bengali, Telugu"
Sensitivity to light,"Migraine, Iritis, Corneal abrasion",Moderate,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Dry eyes,"Sjögren's syndrome, Aging, Computer vision syndrome",Mild,30,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Watery eyes,"Allergies, Blocked tear duct, Conjunctivitis",Mild,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Bulging eyes,"Graves' disease, Orbital cellulitis, Orbital tumor",Moderate,30,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Yellow eyes,"Jaundice, Hepatitis, Alcoholic liver disease",Severe,21,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Eye discharge,"Conjunctivitis, Blepharitis, Dacryocystitis",Mild,7,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Dry mouth,"Sjögren's syndrome, Dehydration, Medication side effect",Mild,14,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Excessive salivation,"Dental infection, Parkinson's disease, Gastroesophageal reflux",Mild,7,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Tongue pain,"Glossitis, Oral candidiasis, Vitamin deficiency",Mild,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
White tongue,"Oral thrush, Leukoplakia, Dehydration",Mild,7,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Red tongue,"Vitamin deficiency, Scarlet fever, Kawasaki disease",Moderate,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Black hairy tongue,"Poor oral hygiene, Antibiotics, Tobacco use",Mild,14,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Cracked lips,"Dehydration, Vitamin deficiency, Angular cheilitis",Mild,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Change in taste,"Zinc deficiency, Medication side effect, COVID-19",Mild,14,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Loss of taste,"COVID-19, Zinc deficiency, Bell's palsy",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Nose bleeding,"Hypertension, Dry air, Blood disorders",Moderate,3,North India,"English, Hindi, Punjabi, Urdu"
Runny nose,"Common cold, Allergies, Sinusitis",Mild,7,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Stuffy nose,"Common cold, Sinusitis, Allergies",Mild,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Postnasal drip,"Sinusitis, Allergies, Gastroesophageal reflux",Mild,14,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Sneezing,"Allergies, Common cold, Rhinitis",Mild,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Itchy nose,"Allergies, Rhinitis, Sinusitis",Mild,7,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Nasal polyps,"Chronic sinusitis, Allergies, Cystic fibrosis",Moderate,180,North India,"English, Hindi, Punjabi, Urdu"
Change in smell,"COVID-19, Sinusitis, Nasal polyps",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Loss of smell,"COVID-19, Nasal polyps, Zinc deficiency",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Frequent infections,"HIV, Diabetes, Immunodeficiency",Severe,90,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Swollen lymph nodes,"Infection, Tuberculosis, Lymphoma",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Unexplained weight loss,"Tuberculosis, Cancer, Hyperthyroidism",Severe,30,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Unexplained weight gain,"Hypothyroidism, Cushing's syndrome, Edema",Moderate,30,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Increased appetite,"Hyperthyroidism, Diabetes, Pregnancy",Mild,21,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Decreased appetite,"Depression, Hepatitis, Cancer",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Delayed wound healing,"Diabetes, Peripheral vascular disease, Zinc deficiency",Moderate,21,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Skin discoloration,"Vitiligo, Melasma, Tinea versicolor",Mild,180,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Easy bruising,"Platelet disorders, Vitamin C deficiency, Liver disease",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Decreased exercise tolerance,"Heart failure, COPD, Anemia",Moderate,30,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Foot ulcers,"Diabetes, Peripheral vascular disease, Neuropathy",Severe,60,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Gangrene,"Diabetes, Peripheral vascular disease, Buerger's disease",Severe,30,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Poor night vision,"Vitamin A deficiency, Retinitis pigmentosa, Cataracts",Moderate,60,Rural India,"English, Hindi, Tamil, Bengali, Marathi"
Frequent fractures,"Osteoporosis, Vitamin D deficiency, Paget's disease",Severe,60,North India,"English, Hindi, Punjabi, Urdu"
Growing pains,"Normal growth, Vitamin D deficiency, Juvenile idiopathic arthritis",Mild,1,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Bedwetting,"Urinary tract infection, Sleep apnea, Diabetes",Mild,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Failure to thrive,"Malnutrition, Congenital heart disease, Celiac disease",Severe,90,Rural India,"English, Hindi, Tamil, Bengali, Telugu"
Developmental delay,"Down syndrome, Autism spectrum disorder, Hypothyroidism",Severe,365,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Abnormal gait,"Cerebral palsy, Muscular dystrophy, Vitamin B12 deficiency",Severe,180,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Limping,"Hip dysplasia, Leg length discrepancy, Juvenile arthritis",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Toe walking,"Cerebral palsy, Autism spectrum disorder, Tight Achilles tendon",Moderate,180,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Bowlegs,"Vitamin D deficiency, Blount's disease, Normal development",Mild,365,Rural India,"English, Hindi, Tamil, Bengali, Marathi"
Knock knees,"Normal development, Rickets, Obesity",Mild,365,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Flat feet,"Normal variant, Obesity, Ligament laxity",Mild,365,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
High arched feet,"Charcot-Marie-Tooth disease, Cerebral palsy, Normal variant",Mild,365,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Excessive crying in infants,"Colic, Ear infection, Gastroesophageal reflux",Moderate,90,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Recurrent fever in children,"Periodic fever syndromes, Juvenile idiopathic arthritis, Immunodeficiency",Moderate,7,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Recurrent abdominal pain in children,"Irritable bowel syndrome, Constipation, Abdominal migraine",Moderate,2,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Excessive sweating in children,"Hyperthyroidism, Anxiety, Infection",Mild,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Enlarged tonsils,"Chronic tonsillitis, Infectious mononucleosis, Lymphoma",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Snoring,"Adenoid hypertrophy, Obesity, Sleep apnea",Mild,180,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Mouth breathing,"Adenoid hypertrophy, Deviated nasal septum, Allergic rhinitis",Mild,180,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Recurrent ear infections,"Adenoid hypertrophy, Eustachian tube dysfunction, Immunodeficiency",Moderate,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Delayed teething,"Vitamin D deficiency, Hypothyroidism, Down syndrome",Mild,90,Rural India,"English, Hindi, Tamil, Bengali, Telugu"
