Symptom,Possible Diseases,Severity,Average Duration (days),Common in Region,Language Availability
Early puberty,"Precocious puberty, Congenital adrenal hyperplasia, Hormone-secreting tumors",Moderate,365,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Delayed puberty,"Constitutional delay, Hypogonadism, Chronic disease",Moderate,365,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Short stature,"Growth hormone deficiency, Hypothyroidism, Malnutrition",Moderate,365,Rural India,"English, Hindi, Tamil, Bengali, Marathi"
Tall stature,"Marfan syndrome, Gigantism, Klinefelter syndrome",Mild,365,North India,"English, Hindi, Punjabi, Urdu"
Excessive thirst in children,"Diabetes, Diabetes insipidus, Psychogenic polydipsia",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Frequent urination in children,"Diabetes, Urinary tract infection, Overactive bladder",Moderate,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Pain in the legs,"Growing pains, Vitamin D deficiency, Juvenile idiopathic arthritis",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Bow legs in children,"Vitamin D deficiency, Rickets, Blount's disease",Moderate,180,Rural India,"English, Hindi, Tamil, Bengali, Marathi"
Knock knees in children,"Rickets, Obesity, Normal variant",Mild,180,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Refusal to walk,"Toxic synovitis, Juvenile idiopathic arthritis, Fracture",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Vision problems in children,"Refractive errors, Amblyopia, Strabismus",Moderate,180,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Head tilting,"Torticollis, Vision problems, Ear infection",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Large head,"Hydrocephalus, Familial macrocephaly, Brain tumor",Severe,365,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Small head,"Microcephaly, Malnutrition, Genetic disorders",Severe,365,Rural India,"English, Hindi, Tamil, Bengali, Marathi"
Speech delay,"Autism spectrum disorder, Hearing loss, Intellectual disability",Severe,365,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Hyperactivity,"ADHD, Hyperthyroidism, Lead poisoning",Moderate,365,Urban India,"English, Hindi, Tamil, Bengali, Marathi"
Inattention,"ADHD, Learning disabilities, Sleep disorders",Moderate,365,Urban India,"English, Hindi, Tamil, Bengali, Telugu"
Learning difficulties,"Learning disabilities, ADHD, Intellectual disability",Moderate,365,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Social withdrawal,"Autism spectrum disorder, Depression, Anxiety",Moderate,180,Urban India,"English, Hindi, Tamil, Bengali, Telugu"
Repetitive behaviors,"Autism spectrum disorder, OCD, Tic disorders",Moderate,365,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Temper tantrums,"Normal development, ADHD, Autism spectrum disorder",Mild,14,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Sleep problems in children,"Sleep apnea, Anxiety, ADHD",Moderate,30,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Night terrors,"Normal variant, Stress, Sleep disorders",Mild,7,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Sleepwalking,"Normal variant, Sleep disorders, Stress",Mild,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Bedwetting,"Urinary tract infection, Sleep apnea, Diabetes",Mild,30,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Tics,"Transient tic disorder, Tourette syndrome, OCD",Mild,30,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Nail biting,"Anxiety, Normal habit, OCD",Mild,180,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Thumb sucking,"Normal development, Anxiety, Dental problems",Mild,365,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Hair pulling,"Trichotillomania, Anxiety, Stress",Moderate,180,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Breath holding spells,"Normal variant, Iron deficiency, Emotional dysregulation",Moderate,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Regression in development,"Autism spectrum disorder, Rett syndrome, Metabolic disorders",Severe,180,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Facial weakness,"Bell's palsy, Stroke, Myasthenia gravis",Severe,21,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Lockjaw,"Tetanus, Temporomandibular joint disorder, Peritonsillar abscess",Severe,14,Rural India,"English, Hindi, Tamil, Bengali, Telugu"
Drooping eyelid,"Myasthenia gravis, Horner's syndrome, Stroke",Moderate,21,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Grinding teeth,"Bruxism, Dental malocclusion, Anxiety",Mild,180,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Frequent cavities,"Poor dental hygiene, Diet high in sugar, Genetic factors",Mild,30,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Teeth sensitivity,"Dental erosion, Gum recession, Cracked tooth",Mild,30,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Loose teeth,"Periodontal disease, Trauma, Osteoporosis",Moderate,30,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Black spots on teeth,"Dental caries, Staining, Fluorosis",Mild,180,Rural India,"English, Hindi, Tamil, Bengali, Telugu"
Tooth discoloration,"Fluorosis, Tetracycline use, Poor dental hygiene",Mild,180,Rural India,"English, Hindi, Tamil, Bengali, Marathi"
Bad breath,"Gum disease, Poor oral hygiene, Sinusitis",Mild,14,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Painful gums,"Gingivitis, Dental abscess, Vitamin C deficiency",Moderate,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Receding gums,"Periodontal disease, Aggressive brushing, Smoking",Moderate,180,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Swollen gums,"Gingivitis, Pregnancy, Medication side effect",Moderate,7,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Sores on gums,"Canker sores, Herpes, Oral cancer",Moderate,10,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
White patches in mouth,"Oral thrush, Leukoplakia, Oral lichen planus",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Red patches in mouth,"Erythroplakia, Vitamin deficiency, Geographic tongue",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Swollen tongue,"Allergic reaction, Vitamin deficiency, Angioedema",Moderate,3,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Geographic tongue,"Benign condition, Psoriasis, Vitamin deficiency",Mild,30,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Hairy tongue,"Poor oral hygiene, Antibiotics, Tobacco use",Mild,14,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Burning tongue,"Burning mouth syndrome, Vitamin B12 deficiency, Candidiasis",Moderate,30,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Dry mouth,"Sjögren's syndrome, Medication side effect, Dehydration",Mild,14,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Excessive salivation,"Dental infection, Parkinson's disease, GERD",Mild,14,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Difficulty opening mouth,"Tetanus, Temporomandibular joint disorder, Oral cancer",Moderate,21,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Clicking jaw,"Temporomandibular joint disorder, Arthritis, Malocclusion",Mild,30,Urban India,"English, Hindi, Tamil, Bengali, Marathi"
Jaw pain,"Temporomandibular joint disorder, Dental abscess, Trigeminal neuralgia",Moderate,14,Urban India,"English, Hindi, Tamil, Bengali, Telugu"
Facial swelling,"Dental abscess, Angioedema, Parotitis",Moderate,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Facial pain,"Sinusitis, Trigeminal neuralgia, Dental abscess",Moderate,7,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Facial redness,"Rosacea, Lupus, Seborrheic dermatitis",Mild,30,North India,"English, Hindi, Punjabi, Urdu"
Facial rash,"Rosacea, Lupus, Contact dermatitis",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Nodules on face,"Acne, Rosacea, Basal cell carcinoma",Moderate,30,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Open sores on face,"Impetigo, Herpes, Skin cancer",Moderate,14,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Facial hair in women,"Polycystic ovary syndrome, Cushing's syndrome, Medication side effect",Moderate,180,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Hair loss,"Alopecia, Thyroid disorders, Iron deficiency",Moderate,90,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Hair thinning,"Androgenetic alopecia, Hypothyroidism, Iron deficiency",Moderate,90,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Brittle hair,"Hypothyroidism, Malnutrition, Cushing's syndrome",Mild,90,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Dandruff,"Seborrheic dermatitis, Psoriasis, Fungal infection",Mild,30,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Itchy scalp,"Seborrheic dermatitis, Head lice, Psoriasis",Mild,14,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Scalp sores,"Psoriasis, Seborrheic dermatitis, Folliculitis",Moderate,21,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Scalp tenderness,"Tension headache, Scalp infection, Temporal arteritis",Moderate,7,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Premature graying,"Genetic factors, Vitamin B12 deficiency, Thyroid disorders",Mild,365,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Excessive hair growth,"Polycystic ovary syndrome, Cushing's syndrome, Medication side effect",Moderate,180,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Boils,"Staphylococcal infection, Folliculitis, Hidradenitis suppurativa",Moderate,7,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Skin tags,"Normal variant, Obesity, Insulin resistance",Mild,365,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Moles,"Normal variant, Atypical nevus, Melanoma",Mild,365,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Freckles,"Sun exposure, Genetic factors, Xeroderma pigmentosum",Mild,365,South India,"English, Tamil, Telugu, Kannada, Malayalam"
Age spots,"Sun damage, Aging, Liver disease",Mild,365,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Birthmarks,"Port wine stain, Hemangioma, Nevus",Mild,3650,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Vitiligo,"Autoimmune disorder, Genetic factors, Inflammatory conditions",Moderate,3650,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Hives,"Allergic reaction, Stress, Infection",Moderate,7,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Blisters,"Burns, Friction, Pemphigus",Moderate,10,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Calluses,"Pressure, Friction, Hyperkeratosis",Mild,90,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Corns,"Pressure, Friction, Improper footwear",Mild,90,Urban India,"English, Hindi, Tamil, Bengali, Marathi"
Warts,"Human papillomavirus, Immune suppression, Skin trauma",Mild,180,Pan-India,"English, Hindi, Tamil, Bengali, Telugu"
Varicose veins,"Chronic venous insufficiency, Pregnancy, Prolonged standing",Mild,365,Pan-India,"English, Hindi, Tamil, Bengali, Marathi"
Spider veins,"Chronic venous insufficiency, Liver disease, Hormonal changes",Mild,365,Pan-India,"English, Hindi, Tamil, Kannada"
Cold sores,"Herpes simplex virus, Weakened immune system, Stress",Mild,10,Pan-India,"English, Hindi, Bengali, Marathi"
Leg cramps at night,"Dehydration, Electrolyte imbalance, Peripheral artery disease",Moderate,1,Pan-India,"English, Hindi, Tamil, Telugu"
Restless legs,"Restless legs syndrome, Iron deficiency, Kidney failure",Moderate,30,Pan-India,"English, Hindi, Bengali, Marathi"
Flank pain,"Kidney stones, Pyelonephritis, Muscle strain",Severe,7,Pan-India,"English, Hindi, Tamil, Telugu, Kannada"
Pelvic pain,"Endometriosis, Pelvic inflammatory disease, Ovarian cysts",Moderate,21,Pan-India,"English, Hindi, Tamil, Bengali"
Groin pain,"Hernia, Muscle strain, Kidney stones",Moderate,10,Pan-India,"English, Hindi, Marathi, Gujarati"
Heel pain,"Plantar fasciitis, Achilles tendinitis, Heel spurs",Moderate,30,Pan-India,"English, Hindi, Tamil, Malayalam"
Wrist pain,"Carpal tunnel syndrome, Tendinitis, Arthritis",Moderate,21,Urban India,"English, Hindi, Marathi, Bengali"
Finger pain,"Arthritis, Trigger finger, Raynaud's disease",Moderate,14,Pan-India,"English, Hindi, Tamil, Telugu"
Toe pain,"Gout, Bunion, Ingrown toenail",Moderate,7,Pan-India,"English, Hindi, Bengali, Marathi"
Shoulder stiffness,"Frozen shoulder, Arthritis, Rotator cuff injury",Moderate,180,Pan-India,"English, Hindi, Tamil, Malayalam"
Neck stiffness,"Meningitis, Cervical spondylosis, Muscle strain",Moderate,7,Pan-India,"English, Hindi, Bengali, Marathi"
Back stiffness,"Ankylosing spondylitis, Muscle strain, Degenerative disc disease",Moderate,14,Pan-India,"English, Hindi, Tamil, Kannada"
Hip pain,"Arthritis, Bursitis, Sciatica",Moderate,30,Pan-India,"English, Hindi, Telugu, Marathi"
Knee clicking,"Meniscus tear, Arthritis, Ligament injury",Mild,21,Pan-India,"English, Hindi, Tamil, Bengali"
Knee locking,"Meniscus tear, Loose body, Patellar dislocation",Moderate,7,Pan-India,"English, Hindi, Tamil, Kannada"
Knee instability,"Ligament tear (ACL/PCL), Patellar instability, Muscle weakness",Severe,60,Pan-India,"English, Hindi, Telugu, Malayalam"
Elbow pain,"Tennis elbow, Golfer's elbow, Arthritis",Moderate,30,Pan-India,"English, Hindi, Bengali, Marathi"
Muscle twitching,"Benign fasciculation syndrome, Electrolyte imbalance, Motor neuron disease",Mild,5,Pan-India,"English, Hindi, Tamil, Telugu"
Muscle spasms,"Dehydration, Muscle fatigue, Electrolyte imbalance",Mild,2,Pan-India,"English, Hindi, Kannada, Malayalam"
Muscle soreness after exercise,"Delayed onset muscle soreness (DOMS), Muscle strain, Rhabdomyolysis",Mild,3,Pan-India,"English, Hindi, Marathi, Bengali"
Tingling sensation,"Peripheral neuropathy, Vitamin deficiency, Carpal tunnel syndrome",Moderate,21,Pan-India,"English, Hindi, Tamil, Telugu"
Burning sensation on skin,"Neuropathy, Shingles, Sunburn",Moderate,14,Pan-India,"English, Hindi, Bengali, Malayalam"
Crawling sensation on skin,"Formication, Peripheral neuropathy, Delusional parasitosis",Mild,7,Pan-India,"English, Hindi, Tamil, Kannada"
Loss of coordination,"Ataxia, Stroke, Multiple sclerosis",Severe,30,Pan-India,"English, Hindi, Bengali, Marathi"
Clumsiness,"Dyspraxia, Ataxia, Vitamin B12 deficiency",Moderate,60,Pan-India,"English, Hindi, Tamil, Telugu"
Difficulty walking,"Peripheral neuropathy, Parkinson's disease, Arthritis",Moderate,30,Pan-India,"English, Hindi, Bengali, Malayalam"
Shuffling gait,"Parkinson's disease, Normal pressure hydrocephalus, Stroke",Severe,180,Pan-India,"English, Hindi, Tamil, Kannada"
Difficulty standing up,"Muscle weakness, Orthostatic hypotension, Parkinson's disease",Moderate,14,Pan-India,"English, Hindi, Bengali, Marathi"
Difficulty reaching overhead,"Rotator cuff injury, Frozen shoulder, Arthritis",Moderate,21,Pan-India,"English, Hindi, Tamil, Telugu"
Difficulty gripping objects,"Carpal tunnel syndrome, Arthritis, Peripheral neuropathy",Moderate,30,Pan-India,"English, Hindi, Bengali, Malayalam"
Dropping objects frequently,"Peripheral neuropathy, Carpal tunnel syndrome, Muscle weakness",Moderate,21,Pan-India,"English, Hindi, Tamil, Kannada"
Hand tremors when writing,"Essential tremor, Parkinson's disease, Anxiety",Moderate,60,Pan-India,"English, Hindi, Bengali, Marathi"
Shaky voice,"Vocal tremor, Parkinson's disease, Anxiety",Moderate,30,Pan-India,"English, Hindi, Tamil, Telugu"
Slow speech,"Parkinson's disease, Stroke, Hypothyroidism",Moderate,30,Pan-India,"English, Hindi, Bengali, Malayalam"
Monotone voice,"Parkinson's disease, Depression, Autism spectrum disorder",Moderate,60,Pan-India,"English, Hindi, Tamil, Kannada"
Difficulty finding words,"Aphasia (stroke-related), Dementia, Anxiety",Moderate,14,Pan-India,"English, Hindi, Bengali, Marathi"
Feeling faint,"Vasovagal syncope, Orthostatic hypotension, Anemia",Moderate,1,Pan-India,"English, Hindi, Tamil, Telugu"
Near fainting,"Presyncope, Dehydration, Low blood sugar",Moderate,1,Pan-India,"English, Hindi, Bengali, Malayalam"
Lightheadedness,"Orthostatic hypotension, Inner ear problems, Dehydration",Mild,3,Pan-India,"English, Hindi, Tamil, Kannada"
Room spinning sensation,"Vertigo, Benign paroxysmal positional vertigo (BPPV), Meniere's disease",Moderate,5,Pan-India,"English, Hindi, Bengali, Marathi"
Unsteadiness,"Balance disorder, Peripheral neuropathy, Vision problems",Moderate,14,Pan-India,"English, Hindi, Tamil, Telugu"
Feeling detached,"Depersonalization disorder, Anxiety, PTSD",Moderate,21,Urban India,"English, Hindi, Bengali, Malayalam"
Feeling unreal,"Derealization disorder, Panic attack, Migraine aura",Moderate,1,Urban India,"English, Hindi, Tamil, Kannada"
Memory lapses,"Stress, Aging, Dementia",Mild,7,Pan-India,"English, Hindi, Bengali, Marathi"
Difficulty concentrating,"ADHD, Anxiety, Depression",Moderate,30,Urban India,"English, Hindi, Tamil, Telugu"
Poor judgment,"Dementia, Stroke, Substance abuse",Severe,60,Pan-India,"English, Hindi, Bengali, Malayalam"
Confusion about time or place,"Dementia, Delirium, Stroke",Severe,7,Pan-India,"English, Hindi, Tamil, Kannada"
Getting lost in familiar places,"Alzheimer's disease, Dementia, Stroke",Severe,30,Pan-India,"English, Hindi, Bengali, Marathi"
Difficulty planning or organizing,"Dementia, ADHD, Depression",Moderate,60,Pan-India,"English, Hindi, Tamil, Telugu"
Problems with abstract thinking,"Dementia, Schizophrenia, Stroke",Severe,90,Pan-India,"English, Hindi, Bengali, Malayalam"
Mood swings,"Bipolar disorder, Hormonal changes, Premenstrual syndrome (PMS)",Moderate,14,Pan-India,"English, Hindi, Tamil, Kannada"
Irritability,"Anxiety, Depression, PMS",Mild,7,Pan-India,"English, Hindi, Bengali, Marathi"
Agitation,"Anxiety, Dementia, Hyperthyroidism",Moderate,14,Pan-India,"English, Hindi, Tamil, Telugu"
Restlessness,"Anxiety, Restless legs syndrome, Hyperthyroidism",Moderate,7,Pan-India,"English, Hindi, Bengali, Malayalam"
Feeling hopeless,"Depression, Anxiety, Chronic illness",Moderate,30,Pan-India,"English, Hindi, Tamil, Kannada"
Feeling worthless,"Depression, Low self-esteem, Trauma",Moderate,30,Pan-India,"English, Hindi, Bengali, Marathi"
Loss of interest in activities,"Depression, Anhedonia, Chronic fatigue syndrome",Moderate,30,Pan-India,"English, Hindi, Tamil, Telugu"
Social isolation,"Depression, Anxiety, Agoraphobia",Moderate,60,Pan-India,"English, Hindi, Bengali, Malayalam"
Excessive worry,"Generalized anxiety disorder, Panic disorder, OCD",Moderate,90,Urban India,"English, Hindi, Tamil, Kannada"
Panic attacks,"Panic disorder, Agoraphobia, Specific phobia",Severe,1,Urban India,"English, Hindi, Bengali, Marathi"
Phobias,"Specific phobia, Social anxiety disorder, Agoraphobia",Moderate,180,Pan-India,"English, Hindi, Tamil, Telugu"
Obsessive thoughts,"Obsessive-compulsive disorder (OCD), Anxiety, Depression",Moderate,90,Urban India,"English, Hindi, Bengali, Malayalam"
Compulsive behaviors,"Obsessive-compulsive disorder (OCD), Anxiety, Tic disorders",Moderate,90,Urban India,"English, Hindi, Tamil, Kannada"
Flashbacks,"Post-traumatic stress disorder (PTSD), Acute stress disorder, Anxiety",Severe,7,Pan-India,"English, Hindi, Bengali, Marathi"
Nightmares,"PTSD, Anxiety, Stress",Moderate,14,Pan-India,"English, Hindi, Tamil, Telugu"
Feeling emotionally numb,"PTSD, Depression, Dissociative disorder",Moderate,30,Pan-India,"English, Hindi, Bengali, Malayalam"
Difficulty trusting others,"PTSD, Personality disorder, Past trauma",Moderate,180,Pan-India,"English, Hindi, Tamil, Kannada"
Hearing voices,"Schizophrenia, Bipolar disorder (mania), Severe depression",Severe,30,Pan-India,"English, Hindi, Bengali, Marathi"
Seeing things that aren't there,"Schizophrenia, Delirium, Drug withdrawal",Severe,14,Pan-India,"English, Hindi, Tamil, Telugu"
Paranoia,"Schizophrenia, Delusional disorder, Severe anxiety",Severe,30,Pan-India,"English, Hindi, Bengali, Malayalam"
Delusions,"Schizophrenia, Bipolar disorder, Delusional disorder",Severe,60,Pan-India,"English, Hindi, Tamil, Kannada"
Disorganized thinking,"Schizophrenia, Bipolar disorder (mania), Stroke",Severe,30,Pan-India,"English, Hindi, Bengali, Marathi"
Lack of motivation,"Depression, Schizophrenia (negative symptoms), Chronic fatigue syndrome",Moderate,60,Pan-India,"English, Hindi, Tamil, Telugu"
Poor hygiene,"Depression, Schizophrenia, Dementia",Moderate,30,Pan-India,"English, Hindi, Bengali, Malayalam"
Impulsive behavior,"ADHD, Bipolar disorder (mania), Substance abuse",Moderate,14,Urban India,"English, Hindi, Tamil, Kannada"
Risky behavior,"Bipolar disorder (mania), Substance abuse, Personality disorder",Severe,30,Pan-India,"English, Hindi, Bengali, Marathi"
Substance craving,"Substance use disorder, Addiction, Withdrawal",Severe,7,Pan-India,"English, Hindi, Tamil, Telugu, Punjabi"
Alcohol withdrawal symptoms,"Delirium tremens, Seizures, Anxiety",Severe,5,Pan-India,"English, Hindi, Bengali, Malayalam, Punjabi"
Drug withdrawal symptoms,"Varies by drug (e.g., nausea, insomnia, pain), Addiction",Severe,10,Pan-India,"English, Hindi, Tamil, Kannada, Punjabi"
Increased sensitivity to cold,"Hypothyroidism, Anemia, Raynaud's disease",Mild,30,North India,"English, Hindi, Punjabi, Urdu"
Increased sensitivity to heat,"Hyperthyroidism, Multiple sclerosis, Anxiety",Mild,14,Pan-India,"English, Hindi, Tamil, Bengali"
Heat intolerance,"Hyperthyroidism, Graves' disease, Menopause",Moderate,21,Pan-India,"English, Hindi, Tamil, Telugu"
Cold intolerance,"Hypothyroidism, Raynaud's disease, Anemia",Moderate,30,North India,"English, Hindi, Punjabi, Urdu"
Excessive thirst despite drinking,"Diabetes mellitus, Diabetes insipidus, Kidney disease",Moderate,7,Pan-India,"English, Hindi, Tamil, Kannada"
Frequent urination at night (Nocturia),"Diabetes, Prostate enlargement, Heart failure",Moderate,21,Pan-India,"English, Hindi, Bengali, Marathi"
